,Connor,Anthony,Jake,Ed/Blake ,Bob,Ryan,Nathan,Scott,Tom,Holden,Jonathon,Youngkin,Jackson
Connor,0,173,13,180,96,119,12,81,143,9,18,12,184
Anthony,12,0,2,99,6,28,0,2,9,0,0,0,52
Jake,170,183,0,184,165,185,22,154,182,16,35,27,186
Ed/Blake ,6,83,2,0,3,18,2,11,6,2,4,6,58
Bob,85,180,16,183,0,135,5,75,140,1,15,7,182
Ryan,63,158,1,167,49,0,0,67,90,0,1,2,152
Nathan,173,186,163,184,180,186,0,185,177,25,133,132,186
Scott,103,184,31,175,105,116,0,0,141,0,22,0,178
Tom,42,177,4,179,42,94,9,43,0,4,15,10,150
Holden,177,186,170,184,185,186,158,186,181,0,182,173,186
Jonathon,168,186,150,182,171,184,53,164,170,4,0,126,186
Youngkin,174,186,158,180,179,184,53,186,176,12,59,0,186
Jackson,1,130,0,128,3,30,0,6,33,0,0,0,0
