dt,Connor,Anthony,Jake,Ed/Blake ,Bob,Ryan,Nathan,Scott,Tom,Holden,Jonathon,Youngkin,Jackson
1900-04-01,-8.4,-12.4,-4.2,-5.2,-8.2,-8.6,-4.8,-9.8,-7.0,-4.2,-1.4,-5.4,-11.2
1900-04-08,-3.857142857142857,-12.857142857142858,-1.5714285714285714,-7.714285714285714,-4.714285714285714,-9.428571428571429,-4.714285714285714,-10.857142857142858,-5.428571428571429,-1.8571428571428572,-7.857142857142857,-7.571428571428571,-11.571428571428571
1900-04-15,-2.857142857142857,-13.0,-1.0,-11.857142857142858,-7.714285714285714,-10.571428571428571,-4.285714285714286,-7.142857142857143,-5.0,-4.571428571428571,-8.571428571428571,-3.4285714285714284,-10.428571428571429
1900-04-22,-6.0,-12.571428571428571,-2.4285714285714284,-12.0,-8.571428571428571,-10.142857142857142,-3.2857142857142856,-6.142857142857143,-7.571428571428571,-1.7142857142857142,-6.0,-3.0,-11.142857142857142
1900-04-29,-7.428571428571429,-11.571428571428571,-4.857142857142857,-10.714285714285714,-7.428571428571429,-11.714285714285714,-2.7142857142857144,-4.428571428571429,-8.714285714285714,-1.0,-5.714285714285714,-2.142857142857143,-11.571428571428571
1900-05-06,-8.142857142857142,-10.571428571428571,-4.428571428571429,-12.428571428571429,-7.285714285714286,-10.428571428571429,-2.4285714285714284,-4.857142857142857,-7.571428571428571,-1.0,-6.714285714285714,-2.5714285714285716,-12.285714285714286
1900-05-13,-8.0,-9.714285714285714,-5.571428571428571,-12.571428571428571,-8.571428571428571,-11.0,-1.2857142857142858,-5.285714285714286,-7.571428571428571,-2.0,-4.142857142857143,-2.7142857142857144,-12.428571428571429
1900-05-20,-9.0,-7.857142857142857,-6.285714285714286,-12.428571428571429,-8.714285714285714,-11.0,-2.857142857142857,-5.571428571428571,-7.285714285714286,-1.2857142857142858,-4.0,-1.8571428571428572,-12.571428571428571
1900-05-27,-8.714285714285714,-9.142857142857142,-5.0,-12.0,-7.0,-10.285714285714286,-3.4285714285714284,-6.0,-9.571428571428571,-1.0,-3.5714285714285716,-2.0,-13.0
1900-06-03,-10.0,-10.0,-5.0,-12.0,-7.142857142857143,-8.285714285714286,-4.0,-6.0,-9.142857142857142,-1.0,-2.2857142857142856,-2.7142857142857144,-13.0
1900-06-10,-7.428571428571429,-11.0,-5.0,-12.0,-7.571428571428571,-8.428571428571429,-3.5714285714285716,-6.142857142857143,-9.714285714285714,-1.0,-2.142857142857143,-3.2857142857142856,-13.0
1900-06-17,-8.428571428571429,-12.0,-5.0,-11.714285714285714,-8.714285714285714,-7.428571428571429,-3.4285714285714284,-6.0,-8.857142857142858,-1.0,-2.0,-4.0,-12.285714285714286
1900-06-24,-9.857142857142858,-12.571428571428571,-5.0,-12.142857142857142,-8.857142857142858,-7.428571428571429,-3.0,-6.0,-7.857142857142857,-1.0,-2.0,-4.0,-11.285714285714286
1900-07-01,-7.857142857142857,-12.714285714285714,-4.857142857142857,-11.714285714285714,-8.428571428571429,-8.714285714285714,-4.0,-6.0,-8.857142857142858,-1.0,-2.0,-3.0,-11.428571428571429
1900-07-08,-8.714285714285714,-12.714285714285714,-4.714285714285714,-12.142857142857142,-6.285714285714286,-7.142857142857143,-3.142857142857143,-7.857142857142857,-10.0,-1.0,-2.0,-4.142857142857143,-11.142857142857142
1900-07-15,-8.142857142857142,-12.714285714285714,-4.571428571428571,-12.285714285714286,-7.428571428571429,-6.0,-2.4285714285714284,-8.285714285714286,-10.428571428571429,-1.0,-2.5714285714285716,-4.285714285714286,-10.571428571428571
1900-07-22,-6.857142857142857,-13.0,-5.0,-12.0,-8.0,-6.142857142857143,-2.0,-9.0,-11.0,-1.0,-3.2857142857142856,-3.7142857142857144,-10.0
1900-07-29,-7.0,-12.714285714285714,-5.0,-12.142857142857142,-8.142857142857142,-6.0,-1.2857142857142858,-8.714285714285714,-11.0,-1.7142857142857142,-3.142857142857143,-3.857142857142857,-10.0
1900-08-05,-7.0,-12.857142857142858,-5.0,-12.142857142857142,-7.857142857142857,-6.428571428571429,-1.2857142857142858,-8.571428571428571,-9.428571428571429,-1.4285714285714286,-3.0,-4.0,-11.0
1900-08-12,-7.0,-12.142857142857142,-5.428571428571429,-12.714285714285714,-5.428571428571429,-8.0,-1.2857142857142858,-9.142857142857142,-9.857142857142858,-1.7142857142857142,-3.0,-4.0,-11.0
1900-08-19,-7.0,-12.285714285714286,-5.428571428571429,-12.571428571428571,-5.428571428571429,-8.285714285714286,-2.0,-9.714285714285714,-8.857142857142858,-1.0,-3.0,-4.0,-11.0
1900-08-26,-7.857142857142857,-12.142857142857142,-5.857142857142857,-12.857142857142858,-5.142857142857143,-7.142857142857143,-2.0,-9.857142857142858,-9.142857142857142,-1.0,-3.0,-4.0,-11.0
1900-09-02,-7.285714285714286,-12.0,-5.428571428571429,-13.0,-5.285714285714286,-8.285714285714286,-2.0,-10.285714285714286,-8.428571428571429,-1.0,-3.0,-4.0,-10.285714285714286
